probe,logFC,AveExpr,t,P.Value,adj.P.Val,B,gds,type
208169_s_at,0.744561892383871,4.2687721999573,2.75397184939402,0.00812291137448887,0.999896758040284,-3.357986337842,GDS4523,up
209269_s_at,0.594695602344702,2.62485955299404,2.75296514811842,0.00814465152246287,0.999896758040284,-3.35898818505825,GDS4523,up
220320_at,-0.151038495139666,2.75628169059826,-6.22797130906202,1.25947735622426e-06,0.0332564399591281,5.0384513218227,GDS4358,lo
1556636_at,-0.221407351556348,2.60711002543294,-6.0748083055685,1.87383338605725e-06,0.0332564399591281,4.70454264147844,GDS4358,lo
221094_s_at,-0.196111954339368,3.00507345770466,-5.9940132117682,2.31270332283562e-06,0.0332564399591281,4.52716308573596,GDS4358,lo
214852_x_at,-0.239014691852572,2.44816290103199,-5.88401708424861,3.0826746276975e-06,0.0332564399591281,4.28436026145067,GDS4358,lo
202067_s_at,-0.186722098333367,2.79915304861845,-5.823042604172,3.61656727570351e-06,0.0332564399591281,4.1491376932089,GDS4358,lo
1557720_s_at,-0.302657028985407,2.57734641911648,-5.76149584161135,4.25052713321791e-06,0.0332564399591281,4.01220807135266,GDS4358,lo
236520_at,0.251337626368878,2.64876710426218,5.73010895552952,4.6159619707288e-06,0.0332564399591281,3.94221352300645,GDS4358,up
243245_at,-0.240140380504858,2.49392885176724,-5.71004403636458,4.86605431500731e-06,0.0332564399591281,3.89741050572044,GDS4358,lo
225630_at,-0.135029058803197,2.8435156493523,-5.61626597827813,6.22924053333347e-06,0.036170393863231,3.68743965356819,GDS4358,lo
230084_at,-0.180702870910742,2.78471841140148,-5.59345419140384,6.61552699830471e-06,0.036170393863231,3.63622483921939,GDS4358,lo
242690_at,0.322124300231324,2.52470286706339,5.52375985518029,7.95211112300988e-06,0.0395256068773241,3.4794314509502,GDS4358,up
219560_at,-0.260625950016228,2.79768070380647,-5.43761465658682,9.98702720602327e-06,0.0436500986138013,3.28498607206731,GDS4358,lo
233301_at,-0.183195959810608,2.62051050032932,-5.39733153687397,1.1111409701606e-05,0.0436500986138013,3.1938288813124,GDS4358,lo
